COD,NOME,�REA,CC,DATA,HORA
000000076,,,8103,29/01/2025,13:04
000000013,,,8110,30/01/2025,13:04
000000156,,,8114,29/01/2025,13:04
000000042,,,8115,29/01/2025,13:06
000000164,,,8115,29/01/2025,13:06
000000096,,,8115,31/01/2025,13:06
000000131,,,8115,31/01/2025,13:08
000000028,,,8115,31/01/2025,13:08
000000039,,,8115,29/01/2025,13:08
000000185,,,8115,29/01/2025,13:08
000000159,,,8115,29/01/2025,13:09
000000034,,,8121,29/01/2025,13:09
000000028,,,8115,29/01/2025,13:09
000000106,,,8115,29/01/2025,13:09
000000031,,,8114,31/01/2025,13:10
000000103,,,8110,30/01/2025,13:11
000000075,,,6910,30/01/2025,13:11
000000045,,,8115,29/01/2025,13:12
000000097,,,8115,30/01/2025,13:12
000000034,,,8115,29/01/2025,13:12
000000035,,,8121,30/01/2025,13:14
000000097,,,8115,29/01/2025,13:15
000000082,,,8114,30/01/2025,13:15
000000094,,,6515,29/01/2025,13:16
000000127,,,6911,29/01/2025,13:18
000000079,,,8115,30/01/2025,13:19
000000019,,,8115,31/01/2025,13:19
000000083,,,8114,31/01/2025,13:19
000000066,,,8115,30/01/2025,13:21
000000015,,,8110,29/01/2025,13:23
000000053,,,8115,30/01/2025,13:23
000000087,,,6910,30/01/2025,13:25
000000035,,,8121,31/01/2025,13:26
000000147,,,8115,29/01/2025,13:27
000000132,,,8115,30/01/2025,13:27
000000015,,,8110,30/01/2025,13:28
000000122,,,8115,31/01/2025,13:34
000000006,,,6510,30/01/2025,13:35
000000006,,,6510,31/01/2025,13:37
000000029,,,8115,30/01/2025,13:38
000000010,,,8115,30/01/2025,13:40
000000113,,,8114,29/01/2025,13:42
000000054,,,8114,31/01/2025,13:47
000000123,,,8115,30/01/2025,13:53
000000101,,,6914,31/01/2025,13:53
000000011,,,6515,29/01/2025,13:53
000000162,,,6914,29/01/2025,13:54
000000122,,,8115,31/01/2025,13:56
000000102,,,6914,30/01/2025,13:57
000000168,,,8115,29/01/2025,14:05
000000051,,,8115,30/01/2025,14:07
000000164,,,8115,31/01/2025,14:10
000000162,,,6914,31/01/2025,14:21
000000102,,,6914,29/01/2025,14:24
000000148,,,8115,31/01/2025,14:26
000000113,,,8114,30/01/2025,14:31
000000140,,,6914,31/01/2025,14:34
000000114,,,8114,31/01/2025,14:35
000000141,,,6914,30/01/2025,14:41
000000141,,,6914,29/01/2025,14:51
